"Moscow" (55.7558, 37.6178) 17125000
"Koshekhabl" (44.9000, 40.4833) 7157
"Duba-Yurt" (43.0353, 45.7306) 7135
"Krasnyy Klyuch" (55.3842, 56.6483) 7128
"Krasnyy Chikoy" (50.3667, 108.7500) 7107
"Bednodem’yanovsk" (53.9333, 43.1833) 7106
"Durgeli" (42.6656, 47.2967) 7105
"Novosokolniki" (56.3333, 30.1500) 7105
"Okhansk" (57.7167, 55.3833) 7087
"Andreapol" (56.6500, 32.2667) 7079
"Yarkovo" (57.4081, 67.0825) 7017
"Polessk" (54.8667, 21.1000) 7011
"Tubinskiy" (52.8892, 58.2225) 7007
"Magaramkent" (41.6159, 48.3480) 6953
"Berdakel" (43.2645, 45.8226) 6945
"Akyar" (51.8636, 58.2106) 6941
"Tommot" (58.9667, 126.2667) 6935
"Vengerovo" (55.6833, 76.7492) 6928
"Askino" (56.0869, 56.5792) 6918
"Staryy Cherek" (43.4750, 43.8611) 6898
"Nizhnyaya Tavda" (57.6731, 66.1725) 6846
"Puchezh" (56.9833, 43.1667) 6813
"Vizinga" (61.0750, 50.1031) 6810
"Knyaginino" (55.8167, 45.0333) 6804
"Zakan-Yurt" (43.2617, 45.4217) 6802
"Psygansu" (43.4125, 43.8056) 6797
"Ytyk-Kyuyël’" (62.3623, 133.5625) 6796
"Khandyga" (62.6660, 135.6000) 6796
"Velizh" (55.6000, 31.2000) 6788
"Dovolnoye" (54.4917, 79.6736) 6774
"Semënovka" (56.6519, 47.9756) 6751
"Yetkul" (54.8222, 61.5881) 6740
"Aleksandrovskoye" (60.4286, 77.8658) 6721
"Levokumka" (44.2297, 43.1481) 6715
"Kurumoch" (53.4889, 50.0372) 6697
"Kamennogorsk" (60.9500, 29.1333) 6696
"Bol’shaya Chernigovka" (52.0983, 50.8667) 6693
"Domna" (51.8971, 113.1573) 6687
"Karagay" (58.2714, 54.9389) 6682
"Supsekh" (44.8611, 37.3667) 6669
"Sevsk" (52.1500, 34.4939) 6663
"Kizilskoye" (52.7250, 58.8917) 6651
"Verkhniye Tatyshly" (56.2903, 55.8539) 6645
"Verkhniye Kigi" (55.4053, 58.6043) 6637
"Zavetnoye" (47.1172, 43.8908) 6633
"Amga" (60.8972, 131.9806) 6626
"Orlov" (58.5333, 48.8833) 6607
"Bezopasnoye" (45.6376, 41.9358) 6598
"Sretensk" (52.2500, 117.7167) 6581
"Makaryev" (57.8833, 43.8000) 6579
"Verkhneye Kazanishche" (42.7306, 47.1381) 6573
"Makarov" (48.6270, 142.7800) 6567
"Agapovka" (53.2942, 59.1344) 6561
"Spassk-Ryazanskiy" (54.4000, 40.3833) 6553
"Tsiolkovskiy" (51.7603, 128.1212) 6535
"Gamovo" (57.8672, 56.1031) 6523
"Yar-Sale" (66.8633, 70.8300) 6486
"Bagrationovsk" (54.3833, 20.6333) 6482
"Shalya" (57.2408, 58.7344) 6471
"Berdigestyakh" (62.0984, 126.6957) 6462
"Baykalovo" (57.3969, 63.7672) 6457
"Vozdvizhenka" (43.9000, 131.9333) 6454
"Grayvoron" (50.4833, 35.6667) 6449
"Bizhbulyak" (53.6967, 54.2642) 6446
"Dmitriyev-L’govskiy" (52.1289, 35.0756) 6430
"Sengiley" (53.9667, 48.8000) 6405
"Yermolayevo" (52.7167, 55.8000) 6397
"Kizhinga" (51.8464, 109.9128) 6373
"Yazykovo" (54.6917, 55.0161) 6368
"Usolye" (59.4167, 56.6833) 6368
"Tatarka" (44.9575, 41.9299) 6365
"Serzhen’-Yurt" (43.1228, 45.9858) 6359
"Divnomorskoye" (44.5008, 38.1353) 6358
"Oranzherei" (45.8476, 47.5663) 6350
"Starokucherganovka" (46.3250, 47.9581) 6343
"Staraya Mayna" (54.6089, 48.9281) 6331
"Verkhnevilyuysk" (63.4506, 120.2983) 6329
"Strugi-Krasnyye" (58.2719, 29.1083) 6313
"Zubtsov" (56.1667, 34.5833) 6300
"Khurba" (50.4069, 136.8761) 6277
"Sotnikovo" (51.8833, 107.4833) 6274
"Sursk" (53.0833, 45.7000) 6254
"Velikovechnoye" (44.9350, 39.7550) 6238
"Vesyegonsk" (58.6500, 37.2667) 6219
"Murashi" (59.3833, 48.9667) 6218
"Demidov" (55.2667, 31.5167) 6213
"Kudryashovskiy" (55.0944, 82.7778) 6205
"Nikolo-Berëzovka" (56.1242, 54.1557) 6202
"Lakkha Nëvre" (43.6103, 45.2453) 6188
"Temnikov" (54.6333, 43.2167) 6179
"Odesskoye" (54.1861, 73.0500) 6148
"Kuybyshevo" (47.8183, 38.9083) 6145
"Chemodanovka" (53.2353, 45.2475) 6133
"Ivanovka" (51.7183, 55.1882) 6129
"Sosnovo-Ozerskoye" (52.5247, 111.5411) 6128
"Umba" (66.6814, 34.3455) 6128
"Trunovskoye" (45.4950, 42.1294) 6121
"Novokhopërsk" (51.1000, 41.6167) 6108
"Verkhniy Avzyan" (53.5289, 57.5372) 6064
"Ulëty" (51.3561, 112.4828) 6061
"Uchaly" (54.3689, 59.4342) 6049
"Kabansk" (52.0486, 106.6528) 6038
"Takhtamukay" (44.9172, 38.9961) 6031
"Mishkino" (55.5342, 55.9633) 6021
"Krasavino" (60.9667, 46.4833) 6021
"Verkh-Tula" (54.8833, 82.7806) 6020
"Parabel’" (58.6978, 81.4825) 6018
"Khlevnoye" (52.1951, 39.0932) 6007
"Soligalich" (59.0833, 42.2833) 5998
"Azovo" (54.6997, 73.0236) 5997
"Belyayevka" (51.3975, 56.4167) 5992
"Yukhnov" (54.7500, 35.2333) 5985
"Tazovskiy" (67.4667, 78.7000) 5981
"Karaidel" (55.8377, 56.9098) 5980
"Alnashi" (56.1874, 52.4792) 5964
"Novobelokatay" (55.7066, 58.9580) 5961
"Kulary" (43.2397, 45.5042) 5960
"Fatezh" (52.0894, 35.8589) 5951
"Tashtyp" (52.7975, 89.8936) 5946
"Achikulak" (44.5467, 44.8314) 5936
"Shatsk" (54.0333, 41.7000) 5935
"Sterlibashevo" (53.4372, 55.2586) 5930
"Sharan" (54.8167, 54.0000) 5929
"Zaraysk" (54.7653, 38.8836) 5918
"Alzamay" (55.5500, 98.6667) 5908
"Ubinskoye" (55.3000, 79.6833) 5908
"Turuntayevo" (52.2000, 107.6167) 5901
"Bazarnyye Mataki" (54.9053, 49.9258) 5899
"Shemordan" (56.1833, 50.3833) 5876
"Mundybash" (53.2333, 87.3167) 5870
"Mindyak" (54.0331, 58.8025) 5862
"Korocha" (50.8167, 37.2000) 5853
"Poshekhonye" (58.5000, 39.1167) 5821
"Arkhangelskoye" (54.4039, 56.7797) 5819
"Urvan" (43.4894, 43.7653) 5813
"Debesy" (57.6500, 53.8167) 5778
"Novaya Mayna" (54.1472, 49.7719) 5778
"Spasskoye" (44.6145, 132.7970) 5778
"Zandak" (43.0572, 46.4556) 5773
"Sokur" (55.2092, 83.3183) 5770
"Kamennomostskoye" (43.7336, 43.0458) 5760
"Sudzha" (51.1907, 35.2708) 5759
"Chernolesskoye" (44.7156, 43.7133) 5747
"Dyshne-Vedeno" (42.9555, 46.1248) 5732
"Kapustin Yar" (48.5672, 45.7778) 5724
"Bol’shaya Kudara" (50.2039, 107.0492) 5712
"Krym" (47.3003, 39.5164) 5709
"Vladimiro-Aleksandrovskoye" (42.8903, 133.0722) 5708
"Barguzin" (53.6172, 109.6347) 5702
"Tiksi" (71.6269, 128.8350) 5700
"Barabash" (43.1917, 131.4889) 5691
"Shatrovo" (56.5197, 64.6319) 5688
"Primorsk" (60.3667, 28.6167) 5682
"Kazminskoye" (44.5888, 41.6730) 5676
"Sigayevo" (56.4200, 53.7678) 5659
"Gavrilov Posad" (56.5667, 40.1167) 5657
"Myshkin" (57.7833, 38.4500) 5647
"Gergebil" (42.5050, 47.0658) 5622
"Subkhankulovo" (54.5586, 53.8147) 5598
"Starobaltachevo" (56.0012, 55.9273) 5598
"Novoyegor’yevskoye" (51.7667, 80.8667) 5596
"Onguday" (50.7500, 86.1333) 5586
"Zilair" (52.2322, 57.4403) 5585
"Aginskoye" (55.2606, 94.9144) 5584
"Kugulta" (45.3642, 42.3869) 5574
"Okhotsk" (59.3830, 143.2170) 5570
"Shikhany" (52.1167, 47.2000) 5560
"Altud" (43.7181, 43.8722) 5554
"Alkhazurovo" (43.0628, 45.6511) 5534
"Bagan" (54.1000, 77.6667) 5510
"Benoy" (42.9774, 46.3094) 5484
"Kurumkan" (54.3167, 110.3167) 5465
"Bol’shoye Nagatkino" (54.5167, 47.9667) 5462
"Zhizdra" (53.7503, 34.7361) 5461
"Makhkety" (42.9663, 45.9063) 5454
"Pervomayskoye" (52.5883, 85.2614) 5454
"Nachalovo" (46.3386, 48.1997) 5451
"Prigorodnoye" (43.2531, 45.7581) 5449
"Tura" (64.2833, 100.2500) 5444
"Piterka" (50.6667, 47.4333) 5439
"Poretskoye" (55.1975, 46.3292) 5436
"Paranga" (56.7039, 49.4047) 5411
"Zdvinsk" (54.7000, 78.6667) 5402
"Sebezh" (56.2833, 28.4833) 5401
"Mikhaylovka" (54.8050, 55.8919) 5384
"Linda" (56.6128, 44.0972) 5383
"Yarkovo" (54.8056, 82.5989) 5379
"Tsibanobalka" (44.9803, 37.3439) 5370
"Zlynka" (52.4333, 31.7333) 5369
"Russko-Vysotskoye" (59.7014, 29.9431) 5356
"Pytalovo" (57.0667, 27.9167) 5354
"Komsomolskoye" (55.2615, 47.5386) 5345
"Solyanka" (46.3889, 48.0175) 5332
"Shalazhi" (43.0947, 45.3589) 5332
"Spas-Klepiki" (55.1333, 40.1667) 5331
"Bilibino" (68.0500, 166.4500) 5319
"Bol’shoye Sorokino" (56.6272, 69.7911) 5317
"Sedelnikovo" (56.9500, 75.3333) 5316
"Kolosovka" (56.4644, 73.6114) 5313
"Molchanovo" (57.5811, 83.7606) 5305
"Krivosheino" (57.3431, 83.9261) 5297
"Zyazikov" (43.4957, 44.7677) 5296
"Znamenskoye" (57.1278, 73.8244) 5294
"Bogoslovka" (53.2189, 44.8083) 5286
"Kyshtovka" (56.5550, 76.6271) 5282
"Verkhnerusskiy" (45.1324, 41.9424) 5276
"Avdon" (54.6692, 55.7164) 5263
"Sechenovo" (55.2244, 45.8906) 5263
"Lomovka" (53.9208, 58.3683) 5257
"Syumsi" (57.1111, 51.6150) 5250
"Beya" (53.0458, 90.9414) 5247
"Sasykoli" (47.5515, 46.9968) 5224
"Khatassy" (61.9064, 129.6331) 5222
"Kuba" (43.8589, 43.4472) 5218
"Komsomol’skoye" (43.3892, 46.1573) 5215
"Kyren" (51.6783, 102.1361) 5210
"Selty" (57.3097, 52.1358) 5204
"Konstantinovka" (49.6175, 127.9889) 5197
"Baryshevo" (54.9561, 83.1854) 5195
"Otrado-Ol’ginskoye" (45.3060, 40.9397) 5190
"Rodniki" (55.6333, 38.0333) 5189
"Staroye Shaygovo" (54.3031, 44.4739) 5185
"Shebalino" (51.2917, 85.6772) 5185
"Severnoye" (56.3500, 78.3667) 5178
"Berdyuzhye" (55.8042, 68.3000) 5158
"Zyryanskoye" (56.8306, 86.6272) 5150
"Krasnyy Kholm" (58.0500, 37.0167) 5140
"Chernyshevskiy" (63.0128, 112.4714) 5137
"Idrinskoye" (54.3697, 92.1342) 5135
"Vedeno" (42.9616, 46.1038) 5133
"Russkiy Kameshkir" (52.8657, 46.0933) 5131
"Mukhorshibir" (51.0473, 107.8236) 5128
"Vereya" (55.3333, 36.1833) 5123
"Dmitrovsk-Orlovskiy" (52.5050, 35.1464) 5105
"Lyubim" (58.3500, 40.7000) 5076
"Bol’shoye Boldino" (55.0039, 45.3097) 5074
"Khatukay" (45.1833, 39.6667) 5072
"Konstantinovskoye" (45.2992, 42.6367) 5071
"Lesnikovo" (55.2822, 65.3175) 5056
"Nikolo-Pavlovskoye" (57.8036, 60.0286) 5042
"Uvat" (59.1423, 68.8888) 5031
"Chukhloma" (58.7500, 42.7000) 5015
"Rabotki" (56.0436, 44.6033) 5000
"Amzya" (56.2347, 54.3850) 4993
"Khrenovoye" (51.1200, 40.2867) 4983
"Igarka" (67.4667, 86.5667) 4975
"Kuzhener" (56.8167, 48.9167) 4961
"Sredniy Ikorets" (51.0736, 39.7533) 4946
"Veseloyarsk" (51.2874, 81.1070) 4940
"Ust’-Kamchatsk" (56.2135, 162.4350) 4939
"Arkhangel’skoye" (44.6186, 44.0931) 4935
"Khamamatyurt" (43.6078, 46.5044) 4923
"Maloyaz" (55.1825, 58.1656) 4914
"Shaami-Yurt" (43.2264, 45.3919) 4908
"Kishpek" (43.6597, 43.6400) 4901
"Kyzyl-Mazhalyk" (51.1458, 90.5808) 4896
"Vadinsk" (53.6917, 43.0500) 4891
"Turan" (52.1500, 93.9167) 4879
"Ust’-Tsil’ma" (65.4339, 52.1508) 4877
"Blagodatnoye" (45.3967, 42.5772) 4869
"Bol’shaya Sosnova" (57.6734, 54.6018) 4864
"Razdol’noye" (55.0672, 83.2407) 4861
"Alpatovo" (43.7028, 45.2417) 4861
"Pribel’skiy" (54.3750, 56.4500) 4859
"Sukpak" (51.6667, 94.6333) 4839
"Berëzovka" (53.4242, 84.0586) 4836
"Ust’-Charyshskaya Pristan’" (52.4000, 83.6500) 4809
"Ust’-Ishim" (57.6944, 71.1708) 4802
"Armizonskoye" (55.9461, 67.6736) 4776
"Turukhansk" (65.7931, 87.9622) 4774
"Kokino" (53.1542, 34.1208) 4773
"Shenkursk" (62.1000, 42.9000) 4772
"Leshukonskoye" (64.9000, 45.7667) 4760
"Susuman" (62.7808, 148.1539) 4760
"Deyskoye" (43.4744, 44.1639) 4758
"Aleksandrovka" (46.7831, 38.9986) 4744
"Bagdarin" (54.4444, 113.5872) 4735
"Staraya Vichuga" (57.2683, 41.8786) 4729
"Novoil’insk" (51.6822, 108.7103) 4700
"Akusha" (42.2781, 47.3389) 4697
"Cherdyn" (60.4000, 56.4833) 4687
"Vyaz’ma-Bryanskaya" (55.1811, 34.3311) 4684
"Russkoye" (43.8394, 44.5661) 4681
"Bograd" (54.2297, 90.8297) 4670
"Karpogory" (64.0006, 44.4450) 4667
"Siva" (58.3758, 54.3783) 4659
"Sangar" (63.9241, 127.4739) 4633
"Cheremnoye" (53.1683, 83.2150) 4624
"Khatanga" (71.9833, 102.5000) 4622
"Starosubkhangulovo" (53.1000, 57.4333) 4609
"Staroaleyskoye" (51.0061, 82.0000) 4604
"Ansalta" (42.7000, 46.1000) 4598
"Urman" (54.8733, 56.8675) 4590
"Kemlya" (54.6944, 45.2314) 4571
"Lyuban" (59.3500, 31.2500) 4566
"Yumaguzino" (52.9042, 56.3933) 4564
"Buribay" (51.9617, 58.1592) 4553
"Novyy Redant" (43.4708, 44.8014) 4549
"Yurginskoye" (56.8189, 67.3921) 4546
"Ust’-Kan" (50.9275, 84.7611) 4542
"Tukhchar" (43.2215, 46.4098) 4537
"Vvedenskoye" (55.4742, 65.0844) 4537
"Osa" (53.4000, 103.8833) 4536
"Kadnikov" (59.5000, 40.3333) 4531
"Zubutli-Miatli" (43.1989, 46.8125) 4529
"Babushkin" (51.7167, 105.8667) 4513
"Verkhniy Uslon" (55.7667, 48.9833) 4499
"Burtunay" (42.9907, 46.6314) 4484
"Babstovo" (48.1175, 132.4817) 4465
"Anuchino" (43.9567, 133.0594) 4462
"Yemanzhelinka" (54.8011, 61.2989) 4453
"Yalkhoy-Mokhk" (43.1053, 46.1906) 4452
"Novonikolsk" (43.8563, 131.8590) 4449
"Glinishchevo" (53.3042, 34.0722) 4444
"Yarensk" (62.1667, 49.1000) 4441
"Letnyaya Stavka" (45.4277, 43.4441) 4437
"Ust’-Koksa" (50.2697, 85.6108) 4437
"Tirlyanskiy" (54.2108, 58.5806) 4427
"Severnoye" (54.0917, 52.5428) 4424
"Kaltasy" (55.9694, 54.7992) 4418
"Bolkhuny" (47.9864, 46.4200) 4418
"Saryg-Sep" (51.4936, 95.5597) 4417
"Utsmiyurt" (43.5344, 46.4683) 4400
"Podgorodnyaya Pokrovka" (51.8281, 54.9875) 4394
"Mugur-Aksy" (50.3807, 90.4374) 4375
"Vydreno" (51.4833, 104.6000) 4374
"Urukh" (43.2756, 44.0300) 4373
"Fershampenuaz" (53.5167, 59.8000) 4368
"Shemëtovo" (56.5276, 38.0752) 4362
"Ikon-Khalk" (44.3100, 41.9158) 4353
"Dmitriyevka" (54.8133, 55.8000) 4351
"Soloneshnoye" (51.6586, 84.3180) 4349
"Selikhino" (50.3689, 137.5044) 4349
"Kholmogory" (64.2250, 41.6500) 4343
"Spas-Demensk" (54.4167, 34.0333) 4342
"Inzer" (54.2167, 57.5556) 4329
"Tarbagatay" (51.4806, 107.3597) 4308
"Fëdorovka" (53.1788, 55.1859) 4306
"Uinskoye" (56.8814, 56.5803) 4304
"Lechinkay" (43.5625, 43.4500) 4303
"Krasnogorskoye" (57.7069, 52.4969) 4302
"Shemursha" (54.8867, 47.5189) 4297
"Krasnaya Gorka" (55.1961, 56.6672) 4280
"Galenki" (44.0728, 131.7886) 4279
"Ladovskaya Balka" (45.6281, 41.3942) 4279
"Krasnoarmeyskoye" (55.7672, 47.1697) 4271
"Nyuksenitsa" (60.4111, 44.2344) 4271
"Myurego" (42.4161, 47.6947) 4269
"Batagay" (67.6560, 134.6350) 4266
"Khunzakh" (42.5500, 46.7500) 4245
"Germenchik" (43.5881, 43.7664) 4235
"Yashalta" (46.3394, 42.2761) 4229
"Togul" (53.4667, 85.9167) 4225
"Tuim" (54.3198, 89.9214) 4211
"Il’inka" (52.1194, 107.2708) 4203
"Sotnikovskoye" (45.0039, 43.7772) 4203
"Mosalsk" (54.4833, 34.9833) 4202
"Omsukchan" (62.5333, 155.8000) 4201
"Narovchat" (53.8811, 43.6967) 4199
"Novyy Uoyan" (56.1350, 111.7339) 4184
"Pravdinsk" (54.4500, 21.0167) 4171
"Bol’shaya Yelkhovka" (54.2781, 45.3150) 4171
"Uni" (57.7500, 51.4833) 4167
"Staraya Poltavka" (50.4786, 46.4822) 4159
"Pavlovka" (55.4224, 56.5632) 4143
"Belozërskoye" (55.8214, 65.5842) 4141
"Novochurtakh" (43.2028, 46.5331) 4132
"Zirgan" (53.2222, 55.9186) 4125
"Novaya Bryan’" (51.7206, 108.2678) 4122
"Niny" (44.4864, 43.9457) 4121
"Volovo" (52.0189, 37.8819) 4120
"Dukhovshchina" (55.2000, 32.4167) 4103
"Atemar" (54.1819, 45.4053) 4078
"Slavsk" (55.0500, 21.6667) 4074
"Tegul’det" (57.3067, 88.1600) 4059
"Pevek" (69.7000, 170.3167) 4053
"Bondari" (52.9500, 42.0667) 4052
"Zol’noye" (53.4428, 49.7975) 4022
"Pustoshka" (56.3333, 29.3667) 4017
"Chemal" (51.4111, 86.0050) 4011
"Nizhnetroitskiy" (54.3408, 53.6869) 4008
"Baklashi" (52.2256, 104.0486) 4003
"Chernukha" (55.6011, 43.7628) 4002
"Nesterov" (54.6333, 22.5667) 4001
"Zavetnoye" (44.7492, 41.5994) 3998
"Aleksandrovka" (52.6792, 54.4156) 3988
"Peshkovo" (47.0186, 39.3883) 3982
"Semiletka" (55.3603, 54.6153) 3977
"Konstantinovo" (55.4867, 37.9800) 3974
"Kochki" (54.3333, 80.4833) 3972
"Krasnoselkup" (65.7056, 82.4600) 3972
"Glyadyanskoye" (54.9075, 65.0883) 3964
"Shovgenovskiy" (45.0200, 40.2300) 3945
"Kuli" (42.0183, 47.2433) 3944
"Yukamenskoye" (57.8856, 52.2339) 3940
"Ladushkin" (54.5667, 20.1667) 3937
"Yermekeyevo" (54.0778, 53.6694) 3937
"Ozërsk" (54.4167, 22.0167) 3935
"Roshchino" (45.9111, 134.8889) 3919
"Timofeyevka" (53.5633, 49.3893) 3893
"Khambi-Irze" (43.2350, 45.4531) 3892
"Gagino" (55.2342, 45.0436) 3891
"Kurkent" (41.7119, 48.1153) 3886
"Adil’-Yangiyurt" (43.5606, 46.5864) 3864
"Vitim" (59.4515, 112.5578) 3843
"Meshchovsk" (54.3167, 35.2833) 3837
"Sinyavskoye" (47.2750, 39.2814) 3834
"Chkalovskoye" (44.8375, 133.0417) 3828
"Cherdakly" (54.3594, 48.8450) 3824
"Ust’-Tarka" (55.5667, 75.7000) 3819
"Novyy Nekouz" (57.9046, 38.0671) 3816
"Tomari" (47.7667, 142.0667) 3810
"Osypnoy Bugor" (46.2972, 48.0492) 3800
"Otrado-Kubanskoye" (45.2472, 40.8333) 3789
"Shelabolikha" (53.4131, 82.6167) 3780
"Bogashevo" (56.3653, 85.1478) 3773
"Temiraul" (43.2528, 46.8265) 3771
"Podlesnoye" (51.8064, 46.9975) 3758
"Izhma" (65.0092, 53.9169) 3753
"Log" (49.4844, 43.8614) 3748
"Lal’sk" (60.7367, 47.5853) 3741
"Zaplavnoye" (48.7047, 45.0228) 3734
"Gagatli" (42.8014, 46.2917) 3732
"Khovu-Aksy" (51.1329, 93.7129) 3728
"Cherskiy" (68.7501, 161.3300) 3707
"Novaya Maka" (41.7717, 48.3614) 3706
"Nizhniy Kurkuzhin" (43.7428, 43.3511) 3705
"Undory" (54.6085, 48.3928) 3698
"Malaya Kandala" (54.4892, 49.3908) 3695
"Yantikovo" (55.5136, 47.7776) 3690
"Palana" (59.0840, 159.9500) 3671
"Duvan" (55.6950, 57.8972) 3669
"Kuyanovo" (55.8025, 54.5364) 3664
"Khumalag" (43.2619, 44.4475) 3654
"Babugent" (43.2736, 43.5458) 3647
"Braguny" (43.4381, 46.0960) 3642
"Volnoye" (44.6178, 40.7097) 3639
"Zyryanka" (65.7360, 150.8900) 3627
"Skorodnoye" (51.0710, 37.2276) 3622
"De-Kastri" (51.4666, 140.7833) 3615
"Muzhi" (65.3981, 64.6986) 3609
"Troitskoye" (43.7500, 44.6667) 3607
"Bulgakovo" (54.5000, 55.9000) 3591
"Yaksatovo" (46.2434, 48.0151) 3576
"Krasnoye" (46.7372, 39.5644) 3569
"Nizhniy Mamon" (50.1817, 40.5444) 3564
"Aleksandriya" (45.0947, 43.2456) 3558
"Slavgorodskoye" (53.0214, 78.6436) 3557
"Teletl" (42.4278, 46.7380) 3551
"Khryashchevka" (53.8131, 49.0919) 3544
"Yurovka" (45.1147, 37.4189) 3537
"Bol’shaya Atnya" (56.2500, 49.4500) 3536
"Averyanovka" (43.8477, 46.7547) 3532
"Temyasovo" (52.9900, 58.1103) 3529
"Krestovo-Gorodishche" (54.1844, 48.6250) 3529
"Abrau-Dyurso" (44.7028, 37.6017) 3519
"Besleney" (44.2461, 41.7414) 3514
"Oktyabr’skoye" (45.6250, 42.8250) 3511
"Gereykhanovskoye" (41.6819, 48.2292) 3490
"Srednekolymsk" (67.4500, 153.7000) 3489
"Platonovka" (52.7181, 41.9593) 3475
"Verkhnyaya Toyma" (62.2347, 45.0008) 3462
"Gdov" (58.7500, 27.8167) 3460
"Chermoz" (58.7833, 56.1500) 3457
"Planovskoye" (43.3997, 44.2000) 3456
"Meskety" (43.1593, 46.3602) 3447
"Belaya Rechka" (43.4333, 43.5083) 3430
"Savinka" (50.0785, 47.0994) 3428
"Alakurtti" (66.9672, 30.3383) 3424
"Kholm" (57.1500, 31.1833) 3422
"Bobrovka" (54.0442, 61.7444) 3411
"Ulu-Telyak" (54.9128, 56.9794) 3408
"Pichayevo" (53.2350, 42.2017) 3407
"Oktyabr’skiy" (56.8442, 53.3275) 3407
"Khrushchëvo" (54.2330, 37.5337) 3404
"Privolnoye" (45.9175, 41.3072) 3400
"Zhigansk" (66.7708, 123.3710) 3399
"Zeyuko" (44.1153, 41.8281) 3399
"Rogachëvo" (56.4333, 37.1667) 3379
"Pyshchug" (58.8872, 45.7133) 3376
"Eminkhyur" (41.7658, 48.3253) 3374
"Bukachacha" (52.9833, 116.9166) 3372
"Arkhangelskoye" (54.4292, 48.6544) 3370
"Ugol’nyye Kopi" (64.7333, 177.7000) 3367
"Botashyurt" (43.3069, 46.5108) 3366
"Shafranovo" (53.9819, 54.7750) 3359
"Chaa-Khol’" (51.5150, 92.3320) 3346
"Bol’shoy Uluy" (56.6533, 90.5719) 3340
"Izhevskoye" (54.5531, 40.8689) 3340
"Cherkizovo" (55.9661, 37.7978) 3336
"Chesnokovka" (54.6097, 55.9431) 3333
"Yershichi" (53.6725, 32.7542) 3326
"Sergeyevka" (43.3431, 133.3542) 3323
"Breytovo" (58.2993, 37.8617) 3308
"Krasnogorsk" (48.4172, 142.0869) 3304
"Nizhniy Cherek" (43.5131, 43.9139) 3301
"Baykit" (61.6778, 96.3833) 3293
"Bekhteyevka" (50.8072, 37.2167) 3290
"Morgaushi" (55.9675, 46.7711) 3280
"Peremyshl" (54.2636, 36.1631) 3279
"Maloarkhangelsk" (52.4000, 36.5000) 3276
"Marfino" (46.4085, 48.7140) 3268
"Yelkhovka" (53.8667, 50.2831) 3268
"Samagaltay" (50.6022, 95.0047) 3267
"Mezen" (65.8500, 44.2333) 3267
"Il’insko-Podomskoye" (61.1167, 47.9756) 3254
"Novorzhev" (57.0333, 29.3333) 3252
"Bobrovka" (53.1822, 83.8794) 3251
"Verkhnyaya Tishanka" (51.3241, 40.5447) 3250
"Severnoye" (44.8319, 42.8583) 3249
"Uzyukovo" (53.6442, 49.6903) 3243
"Orlovka" (44.6889, 44.1726) 3241
"Kurakh" (41.5842, 47.7842) 3235
"Vasil’yevka" (53.5511, 49.5294) 3233
"Khuchni" (41.9483, 47.9462) 3232
"Sokolovo" (52.5317, 84.7897) 3224
"Chokh" (42.3156, 47.0300) 3223
"Krasnaya Polyana" (46.1131, 41.5017) 3222
"Sut-Khol’" (51.4069, 91.2925) 3215
"Staroye Drozhzhanoye" (54.7236, 47.5608) 3210
"Khandagayty" (50.7308, 92.0706) 3209
"Sadovoye" (43.4085, 45.5957) 3206
"Kalmanka" (52.8992, 83.5433) 3203
"Kiyasovo" (56.3439, 53.1225) 3200
"Belyy" (55.8333, 32.9333) 3197
"Ptichnik" (48.7462, 132.9543) 3194
"Burlatskoye" (45.0564, 43.6350) 3193
"Teeli" (51.0140, 90.2053) 3192
"Ponezhukay" (44.8865, 39.3830) 3189
"Krasnoznamensk" (54.9500, 22.5000) 3188
"Soluno-Dmitriyevskoye" (44.4025, 42.7219) 3183
"Dzhida" (50.6861, 106.1792) 3178
"Novosil" (52.9667, 37.0500) 3175
"Sukko" (44.7928, 37.4039) 3156
"Yandyki" (45.7678, 47.1258) 3149
"Aksakovo" (54.0181, 54.1525) 3131
"Zenzeli" (45.9241, 47.0474) 3131
"Kudinovo" (54.9893, 36.2489) 3124
"Krasnyye Chetai" (55.6886, 46.1386) 3118
"Verkhniy Kurkuzhin" (43.6956, 43.2747) 3113
"Bay-Khaak" (51.1610, 94.4640) 3110
"Kanadey" (53.1611, 47.5283) 3094
"Kudeyevskiy" (54.8778, 56.7644) 3091
"Povalikha" (53.5167, 83.7750) 3089
"Chernokozovo" (43.6755, 45.3530) 3085
"Blechepsin" (44.8217, 40.5017) 3084
"Natyrbovo" (44.7300, 40.6264) 3079
"Butka" (56.7167, 63.7833) 3077
"Mayachnyy" (52.6833, 55.7333) 3075
"Ust’-Maya" (60.4566, 134.5433) 3062
"Kubina" (44.0578, 41.9478) 3060
"Sergiyevsk" (53.9414, 51.1663) 3057
"Zemlyansk" (51.9042, 38.7306) 3043
"Kuba-Taba" (43.7833, 43.4500) 3042
"Mochishche" (55.1498, 82.8699) 3036
"Nagutskoye" (44.4436, 42.8669) 3026
"Alikovo" (55.7358, 46.7356) 3023
"Ulyanovo" (53.7189, 35.5356) 3022
"Gordeyevka" (52.9583, 31.9769) 3014
"Tangi" (43.0741, 45.5112) 3010
"Rogovatoye" (51.2239, 38.3708) 3001
"Yelizavetinskoye" (45.0081, 43.3519) 2998
"Saranpaul" (64.2600, 60.9083) 2985
"Ashaga-Stal-Kazmalyar" (41.6814, 48.2183) 2978
